House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status,,,
5511,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FM52,F 5506 18TH ST E,5511 18TH ST E,,,,
5514,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FDQ8,F 5506 18TH ST E,5514 18TH ST E,,,,
5517,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FBS6,F 5500 18TH ST E,5517 18TH ST E,,,,
5518,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,00000KO3JD,F 5500 18TH ST E,5518 18TH ST E,,,,
5527,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FH1M,F 5500 18TH ST E,5527 18TH ST E,,,,
5530,18TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FFZ9,F 5500 18TH ST E,5530 18TH ST E,,,,
5930,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FS8Q,P 19N4W3 HIGHWAY 11 N,5930 18TH ST E,,,,
5930,18TH ST E,COTTONDALE,35453,,,FLR,BASEMENT,,,210402,00010DQIMB,P 19N4W3 HIGHWAY 11 N,5930 18TH ST E   FLR BASEMENT,,,,
6018,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FUEO,P 19N4W2 HIGHWAY 11 N,6018 18TH ST E,,,,
6106,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FTF1,P 19N4W2 HIGHWAY 11 N,6106 18TH ST E,,,,
6112,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FRNG,P 19N4W1 HIGHWAY 11 N,6112 18TH ST E,,,,
6120,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FW8V,P 19N4W1 HIGHWAY 11 N,6120 18TH ST E,,,,
6208,18TH ST E,COTTONDALE,35453,,,,,,,210402,000010FTGJ,P 19N4 HIGHWAY 11 N,6208 18TH ST E,,,,
6260,18TH ST E,COTTONDALE,35453,LOT,21,,,,,210402,000010FRZ4,P 19N4 HIGHWAY 11 N,6260 18TH ST E LOT 21,,,,
5414,19TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FG3A,F 1728I 54TH CT E,5414 19TH ST E,,,,
5420,19TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FMR9,F 1728I 54TH CT E,5420 19TH ST E,,,,
5506,19TH ST E,TUSCALOOSA,35404,,,,,,,210402,000010FC22,F 1738 56TH AV E,5506 19TH ST E,,,,
1700,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FLXV,F 1700 54TH CT E,1700 54TH CT E,,,,
1701,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FCMV,F 5404 17TH ST E,1701 54TH CT E,,,,
1706,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FDJR,F 1700 54TH CT E,1706 54TH CT E,,,,
1712,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FQXE,F 1706 54TH CT E,1712 54TH CT E,,,,
1718,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FD59,F 1801 56TH AV E,1718 54TH CT E,,,,
1723,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FDG9,F 1726 54TH CT E,1723 54TH CT E,,,,
1724,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FDR4,F 1726 54TH CT E,1724 54TH CT E,,,,
1726,54TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FCKC,F 1728I 54TH CT E,1726 54TH CT E,,,,
1536,55TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FEMM,F 1536 55TH CT E,1536 55TH CT E,,,,
1537,55TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FGV5,F 1536 55TH CT E,1537 55TH CT E,,,,
1542,55TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FEN2,F 1536 55TH CT E,1542 55TH CT E,,,,
1602,55TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FCMT,F 1537 55TH CT E,1602 55TH CT E,,,,
1603,55TH CT E,TUSCALOOSA,35404,,,,,,,210402,000010FF56,F 1537 55TH CT E,1603 55TH CT E,,,,
1500,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FE28,F 1509 56TH AV E,1500 56TH AV E,,,,
1508,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FHNG,F 1509 56TH AV E,1508 56TH AV E,,,,
1509,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FH6U,F 1509 56TH AV E,1509 56TH AV E,,,,
1510,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,00001Y7149,F 1522 56TH AV E,1510 56TH AV E,,,,
1516,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FGBE,F 1522 56TH AV E,1516 56TH AV E,,,,
1517,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FBA2,F 1522 56TH AV E,1517 56TH AV E,,,,
1523,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FDSQ,F 1522 56TH AV E,1523 56TH AV E,,,,
1524,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FCK0,F 1522 56TH AV E,1524 56TH AV E,,,,
1528,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FHSD,F 1528 55TH CT E,1528 56TH AV E,,,,
1533,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FFA6,F 1522 56TH AV E,1533 56TH AV E,,,,
1541,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FFDH,F 1611 56TH AV E,1541 56TH AV E,,,,
1605,56TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FHLE,F 1611 56TH AV E,1605 56TH AV E,,,,
